0,cool mist humidifi use nasacortov counter 1 spray nostril day 34 day 0,use salt water nasal spray help prevent develop perfor septum 0,children health 0,septal perfor  nasal spray  oxymetazolin  sodium  ear nose throat specialist  perfor septum  ear nose throat
896,possibl rash frequent associ uncontrol diabet 896,besid ringworm kind rash caus red circl   wart like skin tag breast area show night 896,stroke  cerebr vascular accid  joint pain  heart attack  myocardi infarct  quit smoke  orthoped spine surgeri  hernia  dementia  leukemia  tobacco cessat  hiatal hernia  duloxetin  thalassemia  hospic care  vitamin defici  ten  motion sick 896,ringworm  rash  dermat  skin tag  red skin  wart  skin rash  verruca  staph infect  scar
897,absolut child may hear loss due congenit middl ear inner ear problem relat unrel microtia  due tube placement  sure must hear test ent specialist advis degre loss whether impact child speech  languag develop  recent hear test  get new one 897,constant reoccur ear infect caus frequent ring  lead dizzi motion sick  home remedi 897,allergi  otiti media  dizzi  ear infect  sore throat  throat pain  tinnitus  vertigo  surgeri  septoplasti  rhiniti  ct scan  cancer  hear loss  botox  plastic cosmet surgeri  chronic sinus  thyroidectomi  thyroid nodul 897,ear infect  dizzi  malais  hear loss  motion sick  otiti media  home remedi  vertigo  hear test
898,strep throat strep throat mononucleosi  take er avoid devast complic untreat strep throat 898,7 month old ear infect seem get wors  deep cough sound pain  runni nose fever fussi 898,nan 898,rhiniti  ear infect  fussi  fever  cough  urinari urgenc  otiti media  runni nose  urgent care
899,see done appropri mri scanner menisc tear usual diagnos mri  pain mani caus  menisc tear  come joint effus  synov  cartilag damag  baker cyst  etc 899,mri reveal tear medial meniscus right knee  doctor say clinic noth pain due pfs  possibl 899,cancer  femal health  sonogram  ct scan  surgeri  mammogram  breast carcinoma  breast cancer  kidney stone  child health  dementia  brain tumor  colon cancer  atelectasi  stroke  sleep  hysterosalpingogram  transvagin ultrasound  thoracentesi  deep venous thrombosi 899,surgeri  imag  mri  magnet reson imag
900,wrong prioriti sorri  famili histori clinic symptom speak gut colon  would leav gb us proper examin colon first noth found least would 900,often bloodi diarrhea blood clot  diagnos ib   normal mayb  there someth  els 900,surgeri  varicos vein  vein  spider vein  sonogram  varicos vein leg  sclerotherapi  ultrasound extrem vein  superfici thrombophleb  leg surgeri 900,loos stool  diarrhea  dysenteri  irrit bowel syndrom  bloodi diarrhea  blood clot  bacteri dysenteri
901,sciatica treatment true sciatica leg pain shoot back  leg past knee  mimic path sciatic nerv  thus name  may associ numb  burn pain  weak leg  treatment involv nsaid  tylenol  rest  mckenzi pt doc rx  steroid inject nerv root epidur  fail  microdiskectomi disk herniat confirm mri 901,normal increas sciatica pain start round prednison bronchiti pain seem nerv pain 901,scoliosi  spondylolisthesi  compress fractur  kyphosi  minim invas surgeri  sacroiliac joint inject  transforamin lumbar interbodi fusion  laminoplasti  cervic disc replac 901,bronchiti  neuralgia  nerv  nerv pain  prednison  low back pain  liquid pred  deltason  sciatica
902,infect infect  yes  best result wisdom teeth  make sure evalu treat board certifi oral  maxillofaci surgeon 902,stitch come wisdom teeth surgeri  would pain swell go away 902,oral surgeri  oral maxillofaci surgeri  tooth pain  manag tmj  dental pain  wisdom tooth extract  deal wisdom teeth  facial pain  facial plastic surgeri  tmj surgeri  oral cancer  botox  acn  open repair jawbon fractur 902,oral surgeri  dentistri  wisdom teeth  surgeri
903,pain see dentist oral surgeon valid pain  may tmj problem  unerupt wisdom tooth  problem dentist best abl diagnos treat 903,hard sm salivari gland stick pain press undersid jaw doesnt happen side mouth though 903,tooth pain  root canal  dentistri  tmj syndrom  tooth abscess  dri mouth  dental health  dental abscess  aphthous stomat  teeth  teeth clean  dental anxieti 903,saliva  dentistri  calcium  salivari gland
904,dri socket develop stage clot becom dislodg leav nerv end bone unprotect  pain must attend immedi 904,4 wisdom teeth taken 8 day ago  2 impact  1 half fulli expos last 3 day ive terribl earach  normal 904,children health  asthma  sleep  autism  femal health  child allergi  cough  fever  diet  autism spectrum disord  rash  chickenpox  prematur deliveri  integr medicin  feed problem 904,earach  blood clot  dri socket  wisdom teeth  dentistri  tooth extract  oral maxillofaci surgeri
905,brain need fix amount blood flow time  stand  normal adult take medicin  autopilot bodi instantan maintain flow immedi increas either heart rate blood pressur avoid faint 905,could tell  person atrial fibril  take metoprolol   valium need  also requir second medic high blood pressur one go valium 905,sleep  sexual transmit infect  inflamm thyroid  public health  prevent medicin 905,high blood pressur  atrial fibril  abnorm blood pressur  metoprolol  valium  hypertens  hypertens  fibril  blood pressur  beta blocker
906,yes  best start pediatrician famili doctor  usual someth meantim give littl one relief  recurr eczema difficult control asthma  sometim specialist referr warrant  pediatr pulmonologist also train treat asthma  good luck 906,correl asthma eczema 906,eat healthier  exercis  control cholesterol  nutrit  exercis  health educ 906,eczema  asthma
907,look caus number thing caus type neuropathi  next step would look treatabl caus  diabet  thyroid diseas  vitamin defici 907,deep ach ankl feet well  neuropathi  feet turn blue purpl feel cold turn red shower 907,migrain headach  myasthenia gravi  neuropathi  carpal tunnel syndrom  neuromuscular disord 907,peripher vascular diseas  red skin  vascular condit  vascular diseas  nerv damag  angiiti  neuropathi  diabet neuropathi  vascul  podiatri
908,sneez sneez newborn way blow therir nose  breath thr nose mouth  grow   develop  start eat solid food  tone neck muscl breath thr mouth sneez less 908,4 mth old  congest  sneez  wet cough  runni nose ran fever low grade  put vapor rub feet 908,nan 908,rhiniti  fever  cough  nasal spray  pretz  respiratori system  common cold  runni nose  oxymetazolin  seamist
909,sod use 10000 uni superoxid dismutas come color veget  lack initi caus blur eventu lead cataract 909,vitamin b12 defici leg cramp anterior shin splint  get cure forev  abl jog henceforth 909,addict  lose weight  drug addict  lymphedema  rid lice treatment  sleep  cancer  exercis  laparoscop surgeri  substanc abus  child health  nasal  brain damag  weight loss program  vitamin defici  transcrani magnet stimul  abnorm wound heal  pressur sore  behavior therapi  nutrit support 909,muscl strain  shin splint  leg cramp  vitamin defici  numb  vitamin b12 defici  poor nutrit  magnesium  potassium  splint
910,shin  calf watch overus possibl stress fractur  vari activ includ time feet  possibl  also weight control  well arch shoe 910,ach burn  feet  most ball   hurt period rest  first step pain   heel pain  hi arch 105lbs 40 yrs 910,exercis  well lifestyl  sport medicin  knee pain  knee replac  vitamin supplement  total knee replac  total hip replac  weight manag  tendon  patella  sport injuri  acl reconstruct  hip repair  arthroplasti  partial knee replac  sport fit  orthoped brace 910,heel pain  babi first step  antiinflammatori  ibuprofen  motrin
911,like infect need proper head neck physic examin possibl cultur throat  see doctor ent physician one 911,could swollen lymph node normal cbc  neck wisdom tooth extract  10month ago bad infect  hole sinus time 911,pituitari disord  endocrin disord  psychopharmacolog treatment  psychotherapi 911,enlarg lymph node  swollen gland  tooth extract  complet blood count  cbc
912,hiatal hernia pain hiatal hernia gerd caus acid enter esophagus stomach acid caus pain similar heart get enough blood suppli oxygen  angina  caus patient admit hospit rule heart attack  one chest pain walk around get night  chanc caus gerd  see gi doc diagnos gerd 912,day yesterday heart rate drop 40 bpm  yesterday start feel pressur chest left arm discomfort  could beta blocker run er heart attack 912,essenti hypertens  acut renal failur  dialysi servic  diabet nephropathi 912,heart attack  cardiac arrest  myocardi infarct  beta blocker  heart rate  run  metoprolol
913,take claritin sinc u fever   think allergi 913,ive symptom past 3 months: nasal congest  tire  achey bodi  headach  dizzi  weak  sore throat  bad breath could 913,nan 913,sinus  congest nose  asthenia  throat pain  stuf nose  headach  dizzi  sore throat  block nose  ent head neck surgeri
914,help general  great improv take cough medicin  none counter cough medicin realli much effect  fluid intak rest best  medic interact common 914,doctor put mother two ssris  lexapro  20 mg ad zoloft 50 mg place abilifi  safe worri seratonin syndrom 914,children health  congenit heart diseas  child health  cardiomyopathi  heart failur  heart murmur  congest heart failur  marfan syndrom  pediatr cardiolog  pediatr  syncop  tetralog fallot  ventricular septal defect  digeorg syndrom  patent ductus arteriosus  hypoplast left heart  aortic stenosi  kawasaki diseas  coarctat aorta  transposit great vessel 914,serotonin syndrom  zoloft  sertralin  ssri  serotonin  lexapro  aripiprazol  abilifi
915, rare  rare develop yeast infect sex  rare develop irrit feel like yeast infect frequent sex  see inform http:  www womenshealth gov public ourpubl factsheet vaginalyeastinfect html 915,finish 2 round zpack bronchiti  wheez cough  still sick   prescrib prednison  advair diff dr   ive pee everi 2 hrs night  normal med 915,seizur  multipl sclerosi  neuropathi  nerv damag  live al 915,bronchiti  urinari tract infect  cough  wheez  azithromycin  z pak  bladder  urin  prednison  micturit
916,normal check fever  that normal  fever symptom dont worsen watch reason 916,4 year old 100 5 fever complain pain @ top head   runni nose cough sneez easili fatigu   could take er 916,healthi eat  abnorm blood pressur  chest pain  low blood pressur  steroid shot 916,rhiniti  cough  fever  runni nose  pediatr
917,usual disk muscular atrophi neuriti  might best undergo test  mani possibl caus  includ diabet  autoimmun  endocrin  mention  age  complet workup indic 917,mri show  disc bulg upper lower spine spinal stenosi  area   told  peripher neuropathi    relat 917,nan 917,neuropathi  spinal stenosi  peripher neuropathi  nerv damag  spinal diseas  mri  magnet reson imag
918,mayb tooth sensit sweet caviti  sensit cold bit grind teeth  hot nerv infect may need root canal 918,dentist quick clean tarter front teeth fill els  updated_at =  find one front teeth becom sensit 918,sleep apnea  periodont  pain mouth sore  oral surgeri  topic medic laser treatment  dental health 918,sensit teeth  dentistri
919,want breastfe  need stay drug medic  unless approv pediatrician  almost everyth take bodi appear  degre  breast milk 919,use marijuana pregnanc help w  anxieti  depress quit pregnant   unsaf use breastfeed 919,exercis  asthma  heart diseas  eat disord  hiv posit 919,feel anxious  depress  smoke  marijuana  children health  healthi pregnanc  pregnanc  get pregnant  lactat  ganja
920,could  block eustachian tube  consult pcp 920,earach ear  pain  constant dull  warm feel  also havestiff neck shoulder  could 920,oral surgeri  tooth pain  dental health  abscess  gum diseas  dental abscess  sedat dentistri 920,stiff  ear infect  earach  shoulder stiff  otiti interna  stiff neck  otiti externa  otiti media
921,think import see doctor soon possibl  histori given  possibl tempor arter  potenti serious inflamm blood vessel head face region  anoth possibl experienc warn sign outbreak varicella zoster otherwis known shingl  shingl outbreak face also serious problem must treat prompt 921,normal father  foot swell 1 year open heart surgeri blood pressur cholesterol level normal 921,back pain  pain back  nerv damag  pinch nerv  sciatica  neuropathi  multipl sclerosi  numb  child health  femal health  headach  tooth pain  neurolog  hypertens  migrain  sleep  cranioplasti  depress  migrain headach  enlarg tonsil 921,foot swell  open heart surgeri  surgeri  circul  heart surgeri  metabol problem  blood pressur
