0,salin suction  safest effect treatment salin nose drop suction  elev head crib use humidifi help   cold cough medicin proven ineffect serious side effect  fda take market gradual  doesnt help  child need see doctor see cold 0,use salt water nasal spray help prevent develop perfor septum 0,asthma  development delay  prematur babi  eczemat rash 0,septal perfor  nasal spray  oxymetazolin  sodium  ear nose throat specialist  perfor septum  ear nose throat
1015,calf pain calf hot  red  swollen may venous blood clot infect skin  check proper diagnosi  treatment 1015,l5s1 fusion rev hardwar remov 1 year ago  therapi done  still ach pain lt side hip iliac crest tender touch 1015,exercis  eat healthier  exercis  exercis brain  healthi cook  child health  children health  sleep  femal health  healthi diet  diabet  fever  diet  skin lesion  infecti diseas  prevent fall  vaccin prevent ill  prevent flu 1015,joint pain  bone graft  graft  tactil  fusion
1016,low possibl cancer gallbladd associ hnpcc lynch syndrom  overal gallbladd polyp benign  would speak gi doctor cholecystectomi may advis depend size long 1016,colonoscopi transfer cancer cell patient colon cancer healthi person 1016,colon cancer  colonoscopi 1016,cancer  colon cancer  colonoscopi  colon  transmiss
1017,sever mani general dentist well train qualifi routin remov wisdom teeth practic  oral surgeon advanc train often treat complic difficult case may better equip handl complic may occur  although general dentist may offer iv sedat  oral surgeon offer iv sedat general anesthesia routin 1017,impact wisdom tooth@cyst remov upper general anesthet palat tight@pain pass thank 1017,wisdom tooth extract 1017,palat  general anesthesia  anesthet
1018,necessarili usual  opinion  difficult word use medicin  dont treat diseas  treat peopl   peopl uniqu alway usual differ 1018,suffer depress  dont want get addict antidepress drug 1018,adhd  child abus  aortic stenosi 1018,addict  depress  antidepress
1019,achill tendin achill tendon essenti like thick rope join calf muscl heel  becom irrit overus activ > rest  chang train regimen  decreas flexibl  flexibl issu come tight calf muscl  also relat plantar fasciiti  flat feet  ice  gentl stretch  antiinflam med  gel heel cup  insert help 1019,haorribl pain back lower side right leg fron back knee heel tender touch hurt walk 1019,tendon  pediatr  child health  concuss  sprain  knee pain  sport fit  sprain strain  ankl sprain  broken bone 1019,blood clot  tactil  gait
1020,deviat nasal septum crook displac cartilag bone insid nose  correct surgeri  nose spray may provid temporari relief cure  rememb  counter nose spray use day time caus rebound effect make nose block damag insid nose 1020,ive lump neck 4 year  caus sharp pain ear  headach  gp ent recommend ibuprofen  doesnt help 1020,bell palsi  rhinoplasti  deviat nasal septum  facelift  eye lift 1020,headach  motrin  pain medicin  nuprin  rufen  ibuprofen  biopsi  general practition  ent head neck surgeri  advil
1021,agre dr garber  finish period  urin show blood  blood mean red cell  without white cell uti  infect much less like  need recheck urin make sure blood still  still  protein  need nephrologist  blood without protein urin  need urologist 1021,echo new heart murmur appear 6 month ago  told fine  fatigu  fever  splinter nail hemorrhag blood+protein urin  could still endocard despit normal echo 1021,kidney diseas  kidney failur  congest heart failur  dialysi servic  kidney stone med 1021,infecti diseas  fever  fatigu  lethargi  heart murmur  infect heart valv  hemorrhag  blood cultur  protein  echocardiogram
1022,see podiatrist mani thing caus type pain experienc  see physician  tri simpl thing like rest  ice  elev foot  antiinflammatori medic motrin may help 1022,sprain foot contus  put pressur heel rest ach   throb  bruis top 1022,leg pain  plantar fasciiti  ankl pain 1022,podiatri  motrin  ice  ibuprofen  brace  antiinflammatori  advil  sprain
1023,evalu  pain due trauma may due fractur  sprain  arthriti  muscl  nerv tendon injuri  foot evalu may get appropri care 1023,get crutch sprain ankl walk long dont bend hurt even like bad bruis swollen todo 1023,podiatri  foot care  sprain  neuropathi  foot ankl injuri  diabet foot  diabet neuropathi  surgeri  educ  broken foot  foot ulcer  hammer toe  wound  orthoped brace  foot surgeri  hammerto correct  osteomyel  bunion repair 1023,sprain strain  ankl sprain  broken bone  sprain  orthoped surgeri  brace  gait  crutch  crutch
1024,er asap go er immedi   lupus high bp caus visual problem  affect brain function 1024,wean klonopin lupus  sever headach week  templ  eye  region ear back head hurt  never worsen light  see doctor wait pass 1024,system lupus erythematosus diagnost panel  kidney damag  dialysi servic  hypertens  kidney diseas 1024,sinus pain  sinus  headach  system lupus erythematosus  klonopin  clonazepam
1025,altern medic sure altern medic howev mind maximum daili dose 1025,intermitt throb headach +48 hour tenni  seem connect neck rub neck recreat   best treatment:  heat  ibuprofen  flexeril 1025,cleft lip palat repair  pediatr dentistri 1025,headach  motrin  pain medicin  nuprin  rufen  ibuprofen  exercis  flexeril  cyclobenzaprin hcl  advil
1026,heart test pretti much rule heart caus symptom 1026,wbc 3 6 rbc 2 99 plt 107  hgb 9 9 hct 34 1 mchc 29 0 mcv 114 2 rdw 17 5 wrong  weak dizzi  shoot chest pain 1026,famili relationship  hospic care  emerg medic care  high risk pregnanc  educ 1026,dizzi  chest pain  heart attack  anemia  cardiac arrest  myocardi infarct  chest tight  chest pressur  angina  white blood cell
1027,yes sound like run mill  ok time doctor conclud 1027,got angina 18 year old 22  stress ecg  ecg  24 hour ecg  echo  cardiac mri  cardiac mra done  heart structur perfect  point get test done young age 1027,chest pain  angina  heart attack  abnorm blood pressur  cardiomyopathi  blackout  congest heart failur  coronari arteri diseas  stroke  atrial fibril  varicos vein  aortic regurgit  mitral regurgit  progress short breath 1027,stress  chest pain  angina  magnet reson imag  echo  mri  electrocardiogram
1028,see dentist return dentist perform surgeri evalu determin caus recur infect  xray addit studi may perform depend find  minor surgic procedur may also requir resolv problem 1028,eat regular food wisdom tooth extract 1028,wisdom tooth extract 1028,spici food  feed  diet  wisdom tooth extract  tooth extract  nutrit
1029,would need clinic radiograph evalu dentist see restor  better address sooner rather later later might non restor   irrepar  hope help 1029,old root canal without crown caviti  opt crown lengthen fill crown pull get implant 1029,nan 1029,broken bone  implant  root canal  crown  caviti
1030,lymph node mani peopl chronic swollen lymph node least palpabl one  may may relat wisdom teeth remov  regardless  evalu oral surgeon possibl refer physician determin whether investig treatment would appropri 1030,lower rt wisdom tooth extract 3 month ago use local  tooth impact took 1 1 2 hour remov  swollen still  click jaw  stuffi ear tmj 1030,dentistri  dental health  dental care  child health  dental implant  gum diseas  cosmet dentistri  manag teeth 1030,tmj syndrom  dentistri
1031,pregnanc test blood test sensit urin test  especi earli pregnanc  first morn urin usual concentr urin produc later day  eat drink dilut urin enough caus falseneg result  blood test done confirm 1031,sed rate 30  cbc ok  urin ok  metabol ok  ana+ speckl 1:640  serum protein ok  back pain one year w  right flank pain  could cancer lupus panel neg  rheum drs dismiss 1031,alcohol withdraw syndrom  alcohol depend  buprenorphin  opiat withdraw  addict medicin  narcot detox  naltrexon  famili medicin 1031,back pain  system lupus erythematosus  cancer  pain back  protein  complet blood count  cbc  sediment rate  urin  ana
1032,stop jaw surgeri rare done tmj  malocclus may caus contribut tmj  usual overbit alon  pleas see orthodont specialist determin malocclus requir surgic nonsurg correct  effect rx joint symptom 1032,tmj dental caus tingl numb chin  jaw lip  polyneuropathi  wasnt sure dental  dental issu 1032,orthodont  tooth pain  child health  dentistri  tmj syndrom  children health  surgeri  dental pain  oral surgeri  cari  abscess  dental care  oral maxillofaci surgeri  root canal  dental cari  dental health  tooth abscess  teeth  gum diseas  gingiv 1032,numb  tingl  tmj syndrom  dentistri
1033,let rx sciatica 20% peopl psoriasi develop similar form arthriti involv spine  thus  would recommend treat sciatica w either antiinflammatori like motrin get md like spine specialist possibl neuropath medicin may also mri emg get data consider epidur inject time core pt  keep post 1033,sharp shoot pain hip leg  sometim knee leg feel like go bone  could sciatica ive tingl sit lot 1033,back pain  arthriti  pain back  pain joint  physic therapi  knee pain  orthoped surgeri  numb  herniat disk  cardiolipin igm  dementia 1033,back pain  tingl  neuralgia  pain back  nerv  nerv pain  sciatica  low back pain
1034,possibl possibl like  usual takesor exposur 1034,1 month old cough  doc said slight cold get wors  sneez  fever distress 1034,facial paralysi  tracheostomi  hemangioma  cleft lip palat repair  head neck cancer  hemangioma remov 1034,fever  cough  low temperatur  oxymetazolin  irrig
1035,    like fine  depend center seen  recal rate vari 1 20 1 10  recal  approxim 15% need biopsi biopsi 20% cancer  number research studi may reflect perform local mammographi center 1035,mother breast cancer 48   37 andi doctor recommend get mammogram    baselin check necessari 1035,mammogram  ct scan  mri scan  xray chest  mri breast  breast carcinoma  breast lump  breast biopsi  nuclear scan 1035,breast carcinoma  breast cancer  cancer  mammogram  digit mammogram
1036,norma concern skin sustain injuri  immedi respons inflamm red  hot  tender swell 4872 hour  bodi increas blood flow area bring heal factor normal heal  get wors time increas pain  fever  chill  red  may infect lupus may react   see doc may best bet 1036,son 6year old swollen finger red warm  said itch 1036,cellul  sunburn  lymphedema  burn  blister  wound heal  scar  scar  abnorm wound heal  neuropathi  nerv damag  peripher arteri diseas  numb  raynaud diseas  diabet ulcer 1036,insect bite  finger swell  children health
1037,initi coverag approxim 1 3 week initi coverag tissu  although actual take 6 8 week socket complet fill bone  even longer sometim complet matur 1037,make get wisdom teeth swell faster 1037,dentistri  dental health  dental care  child health  dental implant  gum diseas  cosmet dentistri  manag teeth 1037,wisdom teeth
1038,yes without premed  swell common  antiinflammatori antiswel perscript pre medic  unpleas effect wisdom teeth remov manag quit comfort  discuss treat dentist 1038,teeth snap togeth bite hard close sometim bite inner cheek uncontrol sleep 1038,sleep  tmj syndrom  teeth  snore  sleep apnea  apnea  root canal  oral surgeri  dentistri  tooth pain  dental implant  cleft lip  bone loss  orthodontia 1038,teeth  muscl spasm  stress  tmj syndrom  grind teeth  malocclus  oral maxillofaci surgeri  dentistri  sleep  human bite
1039,unknown good question  answer clear far know  consid multivitamin calcium + vitamin supplement healthi diet  would avoid type hormon supplement strong recommend discontinu smoke  radiotherapi  avoid high dose potenc antioxid 1039,stage 4 breast cancer met lung  brain  adren  liver chemo long one live w chemo radiat 1039,breast cancer 1039,breast cancer  breast carcinoma  cancer  irradi  radioact  gamma ray  chemotherapi  end life care  hospic  hospic care
1040,stitch pain swell oral surgeri subsid time  usual week less  stitch remov determin subsid  follow direct given dentist reduc chanc excess swell infect 1040,infect keep come back broken teeth  need see dentist cant get right away  im augmentin  4th med far 1040,tmj syndrom  cosmet dentistri  dental health  esthet dentistri 1040,warfarin  coumadin  antibiot  dentistri  augmentin  amoxicillin clavulan
1041,see doc gi md soon blood stool hemorrhoid  inflamm  polyp  growth  pocket colon wall diverticulosi  fragil blood vessel  poor blood flow colon   dont know detail  need get checkedsoon 1041,bright red blood stool  includ lg clot  feel nauseat  light head  dull pain mid back left side  worri 1041,cancer  hepat  diet  inflammatori bowel diseas  nutrit support  well lifestyl 1041,dizzi  nausea  malais  multi infarct dementia  blood stool  gastrointestin bleed  digest bleed  fece  hemorrhoid
