0,need evalu descript symptom may due postop infect hematoma  followup dentist oral maxillofaci surgeon would strong recommend proper diagnosi treatment correct problem 0,use salt water nasal spray help prevent develop perfor septum 0,wisdom tooth extract 0,septal perfor  nasal spray  oxymetazolin  sodium  ear nose throat specialist  perfor septum  ear nose throat
949,poss prob inform would use  instanc  lesion involv spinal cord multipl sclerosi remain like diagnosi  possibl autoimmun disord lupus sjogren statist less like would present symptom sign e  rash  joint involv  dri eye  dri mouth     hope help 949,shingl normal left shoulder   without outbreak right  caus arm go numb caus dizzi  lightheaded 949,muscl twitch  tingl  seizur  epilept seizur  mri scan  carisoprodol aspirin  tremor  convuls  seizur disord  neuralgia  nervous 949,dizzi  numb  herp zoster  shingl
950,lhermitt ms  cervic radiculopathi  brachial plexus problem  chiari malform  syrinx  caus similar complaint  assum also rule neurologist  muscl attach occipit thorac origin scapular origin caus symptom movement  ms  short answer yes   gold standard test mri ms 950,root canal 5 day ago  2 day pea lump gum  pain swell  dentist call clindamycin  help 950,exercis  exercis  eat healthier  exercis brain  back pain  tendon  sciatica  arthriti  backach  strength train  joint pain  physic therapi  hip pain  sport medicin  achill tendon  sport fit  rehab  musculoskelet pain  toe walk 950,root canal  clindamycin  cleocin
951,see ent doctor symptom  need see ear  nose  throat ent doctor  specialist  also call ent doctor otolaryngolog doctor 951,24 male    enlarg subment submandibular node side    molar tooth side hurt infect reason 951,tmj syndrom  sleep apnea  facial pain  trigemin neuralgia  headach disord 951,molar tooth
952,low risk risk  question $@$ doesnt guy get treat go get check  simpl blood test 952,pinsneedl head switch side daili pain jaw neck unbalanc hard swallow tmjbrainneck mri clear brain feel foggi help 952,children health  child health  healthi pregnanc  depress  deal loss  allergi  famili medicin 952,difficulti swallow  tmj syndrom  mri neck  mri  magnet reson imag  chiropractor
953,snore differ caus treatment option  enlarg tonsil  adenoid  obes  etc  caus  sometim famili whole famili snore snore sleep apnea long term health consequ  see ent doctor  get check find caus appropri treatment 953,sever toothach tooth fill 2 year ago  went dentist want root canal could find anyth wrong x ray 953,child health  children health  allergi  inhal  diarrhea  bacteri mening  sleep  vaccin  asthma  gastroenterolog  obes  bladder infect  mening  hypersensit  attent deficit hyperact disord children  atop dermat  vaccin prevent ill 953,tooth pain  root canal
954,depend person differ  seen post oper tonsil patient eat follow day other still difficulti 3 week  averag 57 day 954,small extrem itch bump leak yellow crust around nose  chin  forehead bit cheek  neck itch around jawlin  idea 954,voic disord  sleep apnea surgeri 954,nan
955,multipl issu seem address w doctor  stay touch w  also  consid micronutri panel see nutrit status bodi  spectracel lab texa excel one  check websit  peac good health 955,infect tooth dentist cant get anoth week two wonder someon could call antibiot bring swell 955,holist medicin  integr medicin  manag high cholesterol 955,antibiot
956,bone graft 6 week would ideal  long symptom infect gone 956,im get blood drawn morn drink alcohol last night blood test medicin take 956,anesthesia  dental pain  cosmet dentistri 956,alcohol
957,need ent eval type treatment mandibular advanc devic oral applianc must see ent doctor get decongest nasal spray  frequent improv nasal airflow improv snore airway symptom  breath nose nasal cpap may much success 957,son 9 play sun 1 hour afternoon daili  get ankl pain  blood test show vitamin d3 9ng ml  someth wrong much supplement need 957,sleep apnea  vertigo  ear nose throat 957,ankl pain  supplement  children health  vitamin
958,see md complex migrain caus head numb arm leg  bulg disc caus tug feel heel burn leg pain  sound like need discuss physician manag 958,mayb way remov scar tissu cheek prevent cheekbit teeth straight well care 958,children health 958,scar  human bite  cheek bite
959,confirm diagnosi physician confirm asthma diagnosi confound panic attack caus short breath  may consid ad medicin call singulair  help reduc inflamm lung daili prevent  pulmonari function test may use well  good luck 959,safe take duloxetin 60 mg morn buspar 15 mg bedtim togeth  like caus serotonin syndrom 959,children health  autism  acn  autism spectrum disord  sleep  skin rash  diabet type 1  child diabet  prediabet  lose weight  smoke cessat  well lifestyl  psychopharmacolog treatment 959,serotonin syndrom  duloxetin  serotonin  cymbalta  buspar  busipiron
960,biopsi fine needl aspir breast typic perform drain cyst lidocain may administ allevi pain  fine needl aspir biopsi also perform lymph node axilla armpit  typic done without lidocain 960,unprotect sex 2 day ago  sex im wateri clear oderless discharg sign pregnanc 960,mammogram  ct scan  cancer  sonogram  mri scan  breast cancer  imag 960,sexual intercours  birth control  sex  pregnanc
961,clench  masset muscl may enlarg tender  simul parotid enlarg pain 961,got one greenpea size non tender lymph node neck side wisdom tooth infectn  see dentist soon  lymph node relat tooth infect 961,oral surgeri  oral maxillofaci surgeri  tooth pain  manag tmj  dental pain  wisdom tooth extract  deal wisdom teeth  facial pain  facial plastic surgeri  tmj surgeri  oral cancer  botox  acn  open repair jawbon fractur 961,dental abscess  tender lymph node
962,heart heart rule caus 962,prescrib remeron  sleep problem also hope knock situat depress  30mg daili  good medic 962,chest pain  heart attack  heart diseas  congest heart failur 962,insomnia  weight gain  depress  situat depress  remeron  sleep  mirtazapin
963,get replac crown lost  even previous root canal  tooth subject decay  movement gingiv gum overgrowth  lead compliat procedur surgeri crown replac even caus loss tooth 963,took augmentin 7 day clindamycim 7 day base oral surgeon recommend  still tooth infect  what next see doc soon  tks 963,dental implant  cosmet dentistri  dental bridg 963,periodont  augmentin  amoxicillin clavulan
964,chang diet tri avoid fri fast food alcohol take leafi green non process food  tri exercis like walk  consid get mono test persist see doctor 964,serious bleed gum gingiv recent notic red itchi bump roof mouth    gingiv 964,stuf nose  cough  ear infect  cancer  tonsil  foreign bodi nose  thyroid nodul  remov tonsil  ultrasound thyroid  salivari gland disord  wound heal  endoscopi 964,inflamm gum  gum diseas  itchi rash  oral maxillofaci surgeri  oral surgeri  gingiv
965,red blood cell hemoglobin hematocrit refer oxygen carri capac blood  remain result describ size red cell hemoglobin content variat size  dr  ho point  doctor read detail advis 965,19 year old shave privat area sinc 16 left ingrown hair caus scar  definit make insecur go swim even chang cloth   know way get rid 965,cancer  nutrit  cervic cancer  ovarian cancer 965,scar  ingrown hair  swim  cicatrix
966,yes    blood pressur need well control minim risk complic surgeri 966,im due period today need delay till least saturday    iv taken appl cider vinegar drink water lemon help 966,breast augment  cosmet surgeri  breast implant  tummi tuck  plastic cosmet surgeri  breast lift  smartlipo  facelift  male breast enlarg  asymmetr breast 966,menstrual period  menstrual cycl
967,possibl tmd molar remov may place strain muscl  possibl also infect area  see dentist make sure issu 967,treat anxieti depress insomnia ativan 14 year noth 967,dental health  cosmet dentistri  dental clean  dental procedur 967,insomnia  feel anxious  depress  ativan  anxieti
968,indic wisdom teeth caus problem  need come  experienc pain  swollen gum  lymph node go away find difficult open mouth  see dentist evalu  xray wisdom teeth remov 968,ive take 3 advil  6 hour 10 day due tooth pain  dentist recommend alev  long wait take last dose advil 968,tmj syndrom  sleep apnea  facial pain  trigemin neuralgia  headach disord 968,tooth pain  dental pain  ibuprofen  naproxen  alev  advil
969,abdomin problem mild antral gastriti  physician p decid treat  ask p p think trial drug prilosec see symptom resolv  p tell gastriti age 19 question ask  good luck 969,feel depress toward end pregnanc tri deal anxieti panic attack  therapi  hurt babi 969,essenti hypertens  acut renal failur  dialysi servic  diabet nephropathi 969,feel anxious  depress  panic attack  melancholia  pregnanc  anxieti
970,breast cancer multipl clinic trial decad show lumpectomi alon adequ treatment patient  often cancer cell breast  beyond lump 970,anxieti add  take zoloft klonopin anxieti affect concentr  safe add ritalin mix 970,cancer  breast cancer  lung cancer  prostat cancer 970,feel anxious  methylphenid  ritalin  sertralin  klonopin  zoloft  clonazepam  anxieti
971,tmd ear pain wisdom tooth extract sometim realli temperomandibular joint arthriti mechan procedur  get evalu make sure isnt someth infect 971,start antidepress  zoloft better option effexor got parkinson   well 971,tmj syndrom  dental care  dental pain  dental health  tooth disord 971,zoloft  venlafaxin  sertralin  effexor  antidepress
972,negat workup diagnosi easi make  care team get point addit test versus surgic intervent  choic elect phase  bring friend hear discuss risk benefit analysi gallbladd remov  scope egd gallbladd remov smart  good luck 972,mani day wisdom tooth extract brush wound site  rins corsodyl brush teeth 972,eat healthier  healthi cook  hypoglycemia  surgeri  hernia  gallston  hemorrhoid  laparoscop surgeri  append  biliari colic  wound  vascular condit  venous insuffici  biliari tract diseas 972,wound  wisdom tooth extract  tooth extract
973,rest sleep depriv give headach  sleep studi  visit headach specialist reason 973,constant wateri diarrhea everi 30 minut  fever  excess sweat  chill  vomit  dizzi  fatigu 973,back pain  pain back  pain manag  neuropathi  neck pain  nerv damag  migrain  chronic pain  head injuri  physic rehabilit  back injuri  epidur steroid inject  occup injuri  radiofrequ ablat  lumbar radiculopathi  sacroiliac joint inject  intern medicin 973,vomit  dizzi  perspir  loos stool  fever  diarrhea  excess sweat  lethargi  vertigo  emesi
974,yes infect gone throat heal feel normal  rememb antibiot alon  cure dental infect  need tooth treat cure infect 974,displac fibula fractur rough 45 inch knee  doctor saw crutch rice need surgeri 974,tooth pain  root canal  dentistri  tmj syndrom  tooth abscess  dri mouth  dental health  dental abscess  aphthous stomat  teeth  teeth clean  dental anxieti 974,broken bone  crutch  surgeri  crutch  open repair fibula fractur
975,comprehens exam    dentist also background tmj dysfunct help diagnos condit infect third molar rule  palpat question structur done determin lump indic cyst lymphadenopathi  test referr need diagnosi complex case 975,lower lymph node behind ear swollen  earach  drainag  wisdom teeth come   ear infect wisdom teeth 975,tmj syndrom  tooth pain 975,ear infect  earach  wisdom teeth  ent head neck surgeri  otiti media  oral surgeri  oral maxillofaci surgeri
976,symptom consist surgeri 2009  suggest consult pcp 976,dental clean 2 week ago got infect tooth  er last saturday iv antibiot  cheek eye socket hurt swollen 976,sport medicin  diabet foot  heel injuri disord  bunion repair  topic medic laser treatment 976,dental clean  antibiot
977,possibl would uncommon  clear usual oral herp present blister format  describ sound like canker sore caus clear smoke  stress viral caus propos  talk doctor best treatment especi pain caus implic hot food 977,doctor prescrib fluticason proair hfa albuterol easier breath night  dont asthma  bad 977,nan 977,asthma  fluticason  proventil  ventolin  albuterol
978,fractur ankl may need see orthoped doctor evalu  alreadi done 978,friend left ankl swollen point caus split red tender ackelis tendon also red dot look like ingrown hair pimpl spread upword ball foot lower shin pain feel better lea 978,malaria  sleep  mrsa 978,acn  pimpl  ingrown hair  split
979,allerg asthma need get internet go er  allerg bronchospasm benadryl zyrtec go help  emerg 979,hive 3 week  thought reaction new acn cream tri benzoyl peroxid  would system  psoriasi knee elbow  hive seem exacerb psori 979,children health  child health  healthi pregnanc  depress  deal loss  allergi  famili medicin 979,acn  hive  pimpl  psoriasi  facial pimpl  dermatolog  desquam  clearasil  benzoyl peroxid  benzac
