0,nasal septal perf alreadi issu nasal septum put risk develop septal perfor  use salin nasal spray necessarili prevent perfor occur  done alreadi  see ent evalu treatment caus  may prevent perfor 0,use salt water nasal spray help prevent develop perfor septum 0,tonsillectomi adenoidectomi  xeomin  chemic laser treatment melasma  sleep disturb childhood 0,septal perfor  nasal spray  oxymetazolin  sodium  ear nose throat specialist  perfor septum  ear nose throat
829,need followup soon sure long symptom present  requir attent soon  may infect resolv  swell could problemat  seek medic help right away 829,thyroid swollen  neck feel tight  troubl swollow like there lump throat  also  iexperi pain ear 829,esthet dentistri 829,inflamm thyroid  antithyroid medic
830,recommend footbal contact sport  risk sustain sublux partial disloc event high cut pivot  happen damag occur knee term menisc tear  cartilag damag  tear ligament  brace wont protect 830,play footbal  torn acl use brace care 830,knock knee  acl injuri  acl reconstruct  knee pain  knee injuri 830,disloc  cartilag  acl tear  brace
831,1 hour ideal place recoveri room whole still sedat  abl move knee  benefit continu passiv motion less appar 831,soon total knee replac could someon use continu passiv motion cpm exercis machin 831,knee replac  total knee replac  partial knee replac  knee arthroscopi  total hip replac  hip surgeri  robot surgeri 831,total knee replac  cyclophosphamid  knee replac  exercis
832,yes time see neurologist 832,need neurolog exam closedhead injuri child w loss conscious temp paralysi medic care   suffer frequent headach migrain bipolar disord  current take lithium  lamict  serequel  zoloft  levo 832,carpal tunnel surgeri  head injuri  stroke  spinal surgeri  kyphoplasti 832,headach  frequent headach  head injuri  migrain headach  head trauma  bipolar disord  unconsci  palsi  syncop  migrain
833,thing could caus this: 1  water retent due congest heart failur  fluid may get back bodi system heart effici  caus swell bodi  2  blood clot leg: general inact  blood may pool leg   along medic histori high cholestrol diabet make high risk dvt deep vein thrombosi blot clot leg  initi  swell may occur  follow pain  cramp poor circul  3  peripher vascular diseas residu condit comorbid  would relat poor circul poor blood suppli leg  4  kidney failure: kidney filter fluid effici  fluid back bodi system  caus swell  exist medic condit precursor possibl caus lower leg swell  crucial see doctor investig caus factor  see doctor soon  pain becom intoler  go emerg room  may clot block fresh  healthi blood suppli leg 833,ankl  feet  leg hand swell realli big throb pain  could caus newli diagnos type 2 diabet   also slip disc l45  high blood pressur high colesterol  tak 833,eat healthier  diabet  chest pain  difficulti breath  coronari arteri diseas  cardiopulmonari resuscit  air embol  travel  mountain sick  hyperbar chamber  collaps lung  motion sick  hyperbar oxygen therapi  decompress sick  pneumonia  hypersensit pneumon 833,high blood pressur  diabet  arthriti  broken bone  blood clot  gout  bulg disk  slip disc  abnorm blood pressur  hypertens
834,depend realli depend high blood pressur  well control medic problem  recommend see board certifi plastic surgeon could discuss issu help determin best cours treatment 834,breast augment high blood pressur 834,breast reduct surgeri  alopecia  hair transplant 834,high blood pressur  abnorm blood pressur  cosmet breast surgeri  femal health  hypertens  breast augment  blood pressur  hypertens
835,save money see dermatologist cosmet surgeon  inject vitamin wast time  money  homeopathi strict placebo  tv need makeup  dont believ hype  blemish never ugli  major scar improv cosmet proceedur  sound good true  true 835,visibl peopl around ive mesotherapi treatment work news anchor  appear import  im hope get rid acn scar wrinkl cheek  mesotherapi leav bruis 835,pimpl  acn  light therapi  vitamin b 12 835,acn  pimpl  vitamin defici  acn scar  ecchymos  scar  dermatolog  homeopathi  mesotherapi  facial pimpl
836,see doctor go local medic clinic doctor evalu node  better safe sorri 836,swollen lymph node neck 6 week  sometim easili felt time pronounc  alway larger right side   recent went doctor due pain sp 836,dental implant  cosmet dentistri  dental bridg  cerec  prosthodont 836,swollen gland
837,eczema definit sound like eczema  use dove soap bath  thick moistur 23 time daili  1% hydrocortison twice daili 1 week itchi area 837,four year old alway sensit skin  time  break flat pink red dri look rash cluster most face  behind knee  leg fold arm front side elbow  could pediatr eczema 837,children health  child health  vaccin  adhd  fever  rash  sudden infant death  sleep disturb childhood  infecti diseas 837,skin rash  eczema  red skin  dermat  rash  children health  pediatr
838,classic classic carpal tunnel syndrom  see wrist splint help sleep night  still get numb splint littl numb time  time see hand surgeon  carpal tunnel syndrom cure surgeri get prior advanc nerv damag 838,night right hand wake numb tingl lot pain last hour help pleas  47 metformin type 2 diabet  hctz high blood pressur  welbuterin tri help quit cigarett   also 838,surgeri  carpal tunnel syndrom  numb  tingl  carpal tunnel surgeri  finger numb  diabet type 2  asthenia  paresthesia  tendon  finger pain  abnorm blood pressur  repetit strain injuri  diabet  hydrochlorothiazid  hypertens  numb tingl  glucophag  hctz  metformin 838,diabet type 2  high blood pressur  diabet  abnorm blood pressur  nerv damag  neuropathi  neuropraxia  numb  tingl  diabet neuropathi
839,young simpl  surgeon need remov enough bone get tooth  that call window  bone heal back unev  pain imagin  first week surgeri sore eat take effort  second week get back eat beef jerki  dont fret go well 839,expect wisdom tooth extract tooth   boni impact oral surgeon say mean tooth surround bone    need cut jaw bone  sound realli pain  long recoveri wil 839,child health  wisdom tooth extract  oral maxillofaci surgeri  root canal  tooth pain  sleep  children health  sinus graft  nutrit 839,feed  tooth extract  wisdom tooth extract  oral maxillofaci surgeri  incis
840,sibl citalopram celexa antidepress work increas serotonin brain synaps  citalopram left right hand molecul compound  escitalopram lexapro ii made one half molecul seen citalopram thought perhap caus fewer side effect  10mg escitalopram equival 20mg citalopram 840,differ side effect celexa lexapro 840,dementia  alzheim diseas  depress  anxieti  vascular dementia  bipolar disord  schizophrenia  delirium  parkinson diseas  dementia lewi bodi  feel anxious 840,serotonin  lexapro  citalopram  celexa
841,10 15 percent breast cancer seen mammogram even mass find physic identifi  reason women told examin month see doctor exam year prior histori breast cancer treat 841,mammogram detect kind breast cancer 841,cancer  radiat therapi  prostat cancer  radiat oncolog  oncolog 841,breast cancer  cancer  mammogram  femal health
842,yes small cancer spread standard radiat radiosurgeri cure lung cancer     standard care surgeri  advanc cancer radiat cure effect chemotherapi  refer nonsmal cell type lung cancer 842,radiat therapi cure lung cancer 842,cancer  radiat therapi  prostat cancer  radiat oncolog  oncolog 842,cancer  lung cancer  radiat therapi  irradi  radioact  gamma ray  cancer radiat  radiosurgeri  chemotherapi
843,perio endo lesion could two differ thing go crown  dull ach radiat nerv pain indic nerv tooth diseas evalu root canal  also sound like dentist concern gum  periodont problem area also  perioendo lesion occur togeth need treat togeth 843,get radiat pain dull ach nerv pain teeth eat hot cold  spici food even outsid two crown  one alway bother alway sore slight inflam  dentist said need get gum cu 843,tooth pain  root canal  dentistri  tmj syndrom  tooth abscess  dri mouth  dental health  dental abscess  aphthous stomat  teeth  teeth clean  dental anxieti 843,inflamm  neuralgia  nerv  nerv pain  nutrit  low temperatur  root canal  feed  dentistri  crown
844,yes improv surviv signific stage 13 lung cancer  cyberknif provid surviv similar surgeri stage 1 patient  stage 23 patient  chemo radiat may use improv surviv  certain patient stage 4 cancer spread brain radiat may help improv surviv 844,radiat therapi lung cancer improv surviv rate 844,colon cancer  lung cancer  breast cancer  head neck cancer  prostat cancer 844,cancer  lung cancer  radiat therapi  irradi  gamma ray  radioact  laparoscop surgeri  chemotherapi
845,possibl  radiat injur lung tissu  therefor sinc copd alreadi injuri addit  radiat doctor need know valu fvc fev1 tell good lung consid plan radiat  major lung cancer smoker copd  bad much lung go radiat 845,radiat therapi lung cancer make father copd wors 845,cancer  radiat therapi  prostat cancer  radiat oncolog  oncolog 845,cancer  lung cancer  radiat therapi  irradi  gamma ray  copd  radioact
846,absolut lymph node check doctor internet 846,need go doctor get antibiot lymph node swollen two week   fever red   pain start left ear two week ago   right side swollen   week ago   left side start swell   drainag 846,sleep  tuberculosi  cough  copd  vitamin defici  asthma  sepsi  fever  lung diseas  bronchoscopi  sleep disord  thoracoscopi  extrapulmonari tuberculosi  ultrasound chest 846,fever  antibiot
847,david state prior may blockag stone duct  see ent oral surgeon handl problem correct  definit get xray ct done determin go  stone mani time remov without problem chronic issu stone rather larg gland may need remov  hard treat web specialist procedur examin give proper diagnosi abl help  good luck 847,swollen salivari gland  put antibiot 10 day  infect  gland still swollen  whatshould 847,dental implant  tmj syndrom  dental xray  dental health  dental pain  dental care  cancer  tooth extractor  dental procedur  dental anxieti 847,ultrasound guid pericardiocentesi  ultrasound guid paracentesi  ultrasound guid ova aspir  ultrasound guid fine needl aspir  ultrasound guid chorion villus sampl  ultrasound guid amnioinfus  ultrasound guid amniocentesi  ultrasound guid abscess drainag  oral maxillofaci surgeri  ent head neck surgeri
848, molluscum mani possibl  one fit descript might molluscum contagiosum  viral infect skin  see health profession evalu 848,daughter bunch small bump belli red itchi blister  like pencil head size  lot look kinda like white bump idea could 848,basal cell carcinoma  contact dermat  cosmet 848,red skin  molluscum contagiosum  virus  children health
849,assum refer amalgam silver fill regular fill  dental bond bond composit fill  either one replac lost tooth structur destroy caviti  amalgam fill look unesthet  conduct hot cold nerv teeth  therefor often caus sensit drink eat hot cold liquid food  bond composit fill sometim wear amalgam fill  look esthet  often appear invis actual bond tooth structur  therebi make stronger  rather weaker fill  general speak  would much prefer bond composit fill mouth mani advantag  reader awar usal cost mani insur compani pay addit cost posterior back teeth  unfortun 849,dental bond work fill caviti ive read dental bond procedur perform fill caviti  true advantag regular fill 849,dentistri  dental health  dental care  child health  dental implant  gum diseas  cosmet dentistri  manag teeth 849,cari  low temperatur  ultrasound guid ova aspir  ultrasound guid fine needl aspir  ultrasound guid chorion villus sampl  ultrasound guid amnioinfus  ultrasound guid amniocentesi  ultrasound guid abscess drainag  nutrit  nerv
850,dr fleme state  would better surgeri upper lower jaw first  rhinoplasti  sure need jaw surgeri consult oral surgeon orthodontist appear may need team work get thing right  consult first  hope info help 850,rhinoplasti jaw surgeri im 23 want get jaw surgeri tmj asymmetr face  want wait im 25+ get   im plan get rhinoplasti coupl week  mani said get jaw surgeri done first 850,tooth pain  root canal  dentistri  abscess  cari  dental implant  gum diseas  cosmet dentistri 850,tmj syndrom  surgeri  orthodont  oral maxillofaci surgeri  rhinoplasti  jaw surgeri  asymmetr face
851,symptom = surgeri symptomat gallston indic laparoscop cholecystectomi  emerg dont wait forev 851,diagnos gall stone  long gall bladder taken attack involv vomit rapid bow movement sevier pain abdomen went emerg room town 851,hernia  surgeri  laparoscop surgeri  cancer  hiatal hernia  hernia repair  colon cancer  abdomin pain  groin hernia  gastroesophag reflux diseas  gallston  append  diverticul  minim invas surgeri  sleev gastrectomi  laparoscop gallbladd remov  obes surgeri  hiatal hernia surgeri  bariatr surgeri 851,vomit  gallston  gallbladd remov  emesi  bladder
