0, may treat nasal congest 0,use salt water nasal spray help prevent develop perfor septum 0,rhinoplasti  facelift  facial plastic surgeri  septoplasti  eyelid lift  nasal fractur  nasal septum repair  nasal polyp remov  eye lift  skin cancer 0,septal perfor  nasal spray  oxymetazolin  sodium  ear nose throat specialist  perfor septum  ear nose throat
1110,manag may allerg reaction infect  allerg reaction typic associ high fever thick nasal drainag  would suggest rins eye gentl salin solut take antihistamin claritin  worsen persist symptom  pleas check physician 1110,allerg conjunct itchi  dri eye  alaway doesnt help  cloudi vision  swell conjunctiva  ragwe  hypersensit allergi shot 1110,pediatr pulmonolog  pulmonolog  infant health  infant toddler health  prematur deliveri 1110,allerg conjunct  hypersensit  hazi vision  pink eye  antihistamin  pediatr allergi  irrit eye  antihistamin eye drop  vision  foggi vision
1111,migrain migrain ha manifest mani differ way person depend stress  diet  sleep hormon  menopaus make woman over sensit slight chang bodi temp  men hormon sudden stop lehigh happen treatment prostat cancer similar symptom 1111,svr migrain 2 day ago vomit everi 5 minut 3 hour  worst migrain life  eye socket hurt bad  1 eye puffi slight headach  feel like got punch 1111,sleep  hypertens  exercis  anxieti  migrain  anemia  contracept  depress  adhd  nutrit  bipolar disord  mood disord  bariatr  famili medicin  fibromyalgia  live bipolar disord  faith base program  healthi man  bipolar ii disord  bipolar disord adult 1111,vomit  headach  migrain headach  migrain  imag  emesi
1112,gallbladd problem gb pain often upper right abdomen  occasion refer right shoulder  avoid fri  fatti  greasi food  one high cholesterol like egg  make appt fp general surgeon mani laparoscop cholecystectomi small incis  quicker recoveri time   unless complic  doc may advis watch wait surgeri becom necessari 1112,25 yo femal  famili histori colon cancer  bloat ulq  sometim pain  blood stool  chang stool constip softer stool  gas  loss appetit  colon cancer 1112,exercis  eat healthier  exercis  exercis brain  healthi cook  child health  children health  sleep  femal health  healthi diet  diabet  fever  diet  skin lesion  infecti diseas  prevent fall  vaccin prevent ill  prevent flu 1112,constip  diarrhea  loos stool  abdomin bloat  appetit  loss appetit  irrit bowel syndrom  cancer  colon cancer  fece
1113,probabl help earli ambul  within coupl day  clear shown benefici  long thing stabl medic run doesnt caus pain  ok  other said  though  clear doctor first dont forget compress stock 1113, ndicat use aspirin venous thrombosi 1113,vein  varicos vein  deep venous thrombosi  venous insuffici  spider vein  varicos vein leg  blood clot leg  sclerotherapi  lymphedema  spider angioma  coumadin  venous stasi  phlebiti  laser ablat  telangiectasia 1113,blood clot  hypercoagul  deep venous thrombosi  thrombosi  heparin  bayer  coumadin  blood thinner  aspirin  antiplatelet
1114,necessari although ankl sprain may swollen pain  usual rest  ice brace may suffic  tri compress wrap simpl ankl brace 12 week  pain swell get wors  see doctor referr  possibl imag studi see injuri serious sprain  hope help   pleas vote follow  thank 1114,start walk 3 week microfractur knee surgeri  suppos wait 5 week weight bear didnt  bad 1114,surgeri  ankl sprain  exercis  arthriti  total ankl replac  swollen ball foot 1114,chronic pain  persist pain  crutch  knee replac  crutch  orthoped surgeri  surgeri  knee surgeri
1115,mayb calf pain radiat ankl could dvt certain muscular  ligament  tendin problem give symptom  although swell red certain dont happen time dvt  probabl reason chanc dvt  dr  ryan said  though  real way know get scan 1115,pain back knee  swell red warmth  havent injur could blood clot dvt 1115,vein  varicos vein  deep venous thrombosi  venous insuffici  spider vein  varicos vein leg  blood clot leg  sclerotherapi  lymphedema  spider angioma  coumadin  venous stasi  phlebiti  laser ablat  telangiectasia 1115,blood clot  blood clot leg  deep venous thrombosi
1116,short breath numb arm shoulder may relat pregnanc induc carpal tunnel although that usual arm hand  short breath bother  swollen may relat expand uterus push diaphragm  sudden onset check ob safe side 1116,fever  asthma histori   slight short breath  asthma  mayb pneumonia 1116,acn  ovul  fertil 1116,bronchiti  fever  asthma  interstiti pneumonia  breathless  pneumonia  difficulti breath
1117, depend knee surgeri alway indic menisc tear  pain limit rang motion mani type tear  larg one  small one  stabl unstabl one  get fragment displac flip  usual need surgeri  prior surgeri orthopaedist tri determin sign symptom relat menisc tear 1117,physic therapi import knee microfractur surgeri doctor told could rehab self 1117,musculoskelet pain  musculoskelet problem  sport medicin  knee pain  patella  imag  mri scan  mri spine  mri brain  arthroscopi  exercis  bone pain  bone scan  pet scan  hip arthroscopi  chondromalacia patella  asthma 1117,surgeri  physiotherapi  physic therapi  knee microfractur surgeri
1118,call dentist depend long sinc extract bone graft  possibl infect extract graft site need attent  sometim infect differ site mouth seed infect heal site opposit side  dentist help manag dri socket side monitor complic keep inform 1118,tooth infect rodogyl  10day root canal done still pain  lnode jaw swollen bone ear near templ hurt need see doctor dentist 1118,dental care  dental health  dental procedur  dental pain 1118,periodont  root canal  dentistri
1119,possibl sound like get sick  go see internist  would need cultur verifi strep throat  gargl warm salt water help sore throat  umcka cold flu help lot natur 1119,suspect tooth abcess  gland swollen neck ear cheek ach  start diahorea vomit 1119,bone graft  dental implant  cosmet  mouth biopsi  wisdom tooth extract 1119,diarrhea  vomit  abscess  emesi  dentistri
1120, may treat nasal congest 1120,ent said go remov bone spur septum septoplasti  turb reduct  common spur make surgeri hard 1120,rhinoplasti  facelift  facial plastic surgeri  septoplasti  eyelid lift  nasal fractur  nasal septum repair  nasal polyp remov  eye lift  skin cancer 1120,surgeri  septoplasti  ent head neck surgeri  ear nose throat  bone spur
1121,breast cancer would import follow breast surgeon decid next step 1121,breast implant left breast burn pain lump mass surround breast closest armpit could 1121,nan 1121,tender swollen lump breast  inflamm  breast implant  mastiti  plastic surgeri  radioact  gamma ray  implant  burn pain  irradi
1122,perhap could abscess breast although would like still fever  mass breast could cancer  necessarili inflammatori breast cancer new mass breast need workup includ exam  mammogram possibl ultrasound mayb biopsi 1122,type breast cancer caus breast swell caus armpit pain lump mean cancer spread 1122,breast cancer  melanoma  breast surgeri  breast diseas  immunotherapi 1122,breast abscess  breast carcinoma  breast pain  axillari pain  breast lump  breast cancer  cancer  biopsi  antibiot  inflammatori breast cancer
1123,arthriti multipl joint pain arthriti like osteoarthr ra  typic joint swell  get check 1123,mild arthriti lower back caus signific sciatica pain mri done juli  pain get wors  gabapentin meloxicam  thank 1123,diabet  human immunodefici virus  constip  asthma  suboxon  hyperlipidemia  weight loss program 1123,cauda equina syndrom  manag sciatica  gait  sciatica  low back pain
1124,probabl wait describ like call pericoron  22 age wisdom teeth common emerg  back end cover gum  debri food impact happen often  happen often  remov 3rd molar indic  fever  monday fine  like start antibiot 1124,possibl wisdom tooth infect  gum puffi around tooth   ear hurt tooth pain  wait 3 day monday dentist need antibiot 1124,orthodontia  fever  swell  feel anxious  bad breath  malocclus  blister  tooth pain  dental brace  teeth  mouth brace  leg pain  pain mouth sore  larg jaw  orthodont retain  cleft lip  lip blister  patient communic  protrud jaw  self ligat brace 1124,abscess  molar tooth  endocardium  bacteria
1125,lhermitt ms lhermitt phenomenon occur mani reason  normal mri studi exam elimin ms intervertebr disc diseas caus  clear caus  feel reassur  base find 1125,would mri brain rule alzheim brain damag ms im 19  male  battl horribl symptom year  end 1125,seizur  multipl sclerosi  neuropathi  nerv damag  live al 1125,alzheim diseas  multipl sclerosi  brain injuri  brain damag  mri  magnet reson imag
1126,sleep apnea cpap work husband osa  need reevalu  use advanc form therapi differ mask consid  certain repeat sleep studi like need  use mandibular advanc devic associ cpap therapi may appropri  diseas sever impli go back md 1126,effect dental applianc treatment sleep apnea cpap 1126,sleep  apnea  sleep apnea  snore  delay sleep phase  copd  leprosi  choke  co2  sleep stage  sleep disturb  pulmonari fibrosi  deep sleep  pulmonari hypertens  narcolepsi  difficulti breath  sarcoidosi  interstiti lung diseas  parasomnia 1126,sleep apnea  apnea  continu posit airway pressur  sleep
1127,yeast yes question 1127,typic prescrib fluconazol 200mg one time dose vagin yeast infect dosag high 1127,human immunodefici virus  male health  sexual transmit infect  depress  lose weight  testosteron  diabet  aid  std  addict  alcohol  men health  gay  lesbian transgend health 1127,yeast infect  fluconazol  yeast  diflucan  candida
1128,vagin vagin yeast infect common gynecolog diagnosi primari care  treatment nonpregn women symptom metronidazol  get rx import yeast infect make suscept contract stds  chlamydia  gonorrhea  etc  vagin clindamycin cream anoth treatment  counter cream may help yore certain yeast infect 1128,vagin itchi  red  slight irrit  alway yeast  sexual activ 1128,chest pain  heart attack  hemorrhoid 1128,red skin  vagin itchi  femal health  lotrimin  candida  yeast  clotrimazol
1129,option option treat infect tooth root canal  retreat root canal  minor surgic approach apicoectomi   antibiot infect gum tooth relat  would want see root canal specialist endodontist complet evalu 1129,problem tooth root canal treatment 1129,tmj syndrom  sleep  headach  dentistri  tooth pain  sleep apnea  exercis  vitamin supplement  dental care  eat healthier  root canal  apnea  dizzi  hypothyroid  numb  exercis  manag tmj  snore  gum diseas  dental cari 1129,root canal
1130,otc pain med pain composit fill  typic pain inject site goe away day  meantim otc pain medicin like motrin help  pain tooth could mean fill realli close nerv root canal may need  bite may high need adjust 1130,tooth decay year almost gone  gum grew last piec  pain  $  riski antibiot fix get $ 1130,dental care  dental health  dental pain  cosmet dentistri 1130,antibiot
1131,see doctor  clot calf rule 1131,yesterday  feet  ankl swollen  mng  entir right leg swollen  left leg normal  pain  swell 1131,plantar fasciiti  diabet foot  neuroma 1131,swell one leg
1132,huh need mammogram doctor feel lump breast  40  1st degre relat mother sister breast cancer  choos start mammogram 10 year younger age relat diagnos age 40  whatev come first  dream could fli  jump grand canyon 1132,found breast lump mammogram show fibroadenoma read report axillari lymphnod mild enlarg most reactiv mean 1132,cancer  ct scan  breast diseas 1132,digit mammogram
1133,call doc good news like noth serious  cancer extrem unlik  bad news still suffer  appear like asthma  note advair take 23 week provid optim benefit  call doctor  answer satisfi consid consult allergist 1133,hav short breath  small amt  blood mucus phlegm cough  xray blood test  doc say tb cancer  mayb smoke  jus quit  help 1133,allergi  asthma  skin rash  allerg reaction  rhiniti  celiac diseas  dermat  immun diseas  atop dermat  black mold allergi 1133,product cough  cough  mycobacterium tuberculosi infect  tuberculosi  breathless  cancer  hepat  difficulti breath  smoke  roentgen ray
1134,dental problem need dental exam make diagnosi  may gingiviit periodont diseas  last see dentist 1134,swollen gum around wisdom tooth pick finger  blood pus came  ive got white spot side throat 1134,nan 1134,pus
1135,depend oral devic sleep apnea effect  cpap still gold standard care  mani type dental sleep mouthpiec one mouthpiec work everi patient  would consid buy one onlin retail store  improp fit creat tmj tmd  move teeth creat mani problem  see dental specialist  also consult 1135,sleep apnea  told use dental applianc  expect get better 1135,tmj syndrom  sleep  headach  dentistri  tooth pain  sleep apnea  exercis  vitamin supplement  dental care  eat healthier  root canal  apnea  dizzi  hypothyroid  numb  exercis  manag tmj  snore  gum diseas  dental cari 1135,sleep apnea  apnea  sleep
